name,count,year,sex,total_by_sex,total_newborns
նարեկ,938,2007,male,21435,40142
դավիթ,921,2007,male,21435,40142
հայկ,667,2007,male,21435,40142
էրիկ,661,2007,male,21435,40142
գոռ,585,2007,male,21435,40142
արման,575,2007,male,21435,40142
արթուր,491,2007,male,21435,40142
արմեն,472,2007,male,21435,40142
տիգրան,438,2007,male,21435,40142
սամվել,433,2007,male,21435,40142
աշոտ,375,2007,male,21435,40142
գևորգ,373,2007,male,21435,40142
վահե,371,2007,male,21435,40142
արամ,363,2007,male,21435,40142
արսեն,351,2007,male,21435,40142
կարեն,349,2007,male,21435,40142
սարգիս,345,2007,male,21435,40142
արտյոմ,334,2007,male,21435,40142
գագիկ,325,2007,male,21435,40142
լևոն,276,2007,male,21435,40142
հովհաննես,273,2007,male,21435,40142
էդգար,222,2007,male,21435,40142
սուրեն,200,2007,male,21435,40142
հարություն,189,2007,male,21435,40142
սերգեյ,184,2007,male,21435,40142
միքայել,175,2007,male,21435,40142
վարդան,168,2007,male,21435,40142
համլետ,163,2007,male,21435,40142
ռուբեն,162,2007,male,21435,40142
մհեր,158,2007,male,21435,40142
արեն,155,2007,male,21435,40142
ալեն,155,2007,male,21435,40142
գարիկ,154,2007,male,21435,40142
ալբերտ,153,2007,male,21435,40142
գրիգոր,153,2007,male,21435,40142
ռոբերտ,152,2007,male,21435,40142
անդրանիկ,150,2007,male,21435,40142
հակոբ,150,2007,male,21435,40142
ալեքս,128,2007,male,21435,40142
ռաֆայել,120,2007,male,21435,40142
ժորա,117,2007,male,21435,40142
վահագն,111,2007,male,21435,40142
ռազմիկ,108,2007,male,21435,40142
վահան,105,2007,male,21435,40142
էդուարդ,105,2007,male,21435,40142
մանվել,100,2007,male,21435,40142
խաչիկ,96,2007,male,21435,40142
միլենա,863,2007,female,18707,40142
անի,723,2007,female,18707,40142
էլեն,643,2007,female,18707,40142
անահիտ,579,2007,female,18707,40142
մարիամ,576,2007,female,18707,40142
աննա,518,2007,female,18707,40142
լիլիթ,469,2007,female,18707,40142
սերի,465,2007,female,18707,40142
գայանե,336,2007,female,18707,40142
մանե,332,2007,female,18707,40142
նարե,316,2007,female,18707,40142
հասմիկ,283,2007,female,18707,40142
գոհար,276,2007,female,18707,40142
լուսինե,268,2007,female,18707,40142
սյուզաննա,264,2007,female,18707,40142
սուսաննա,259,2007,female,18707,40142
կարինե,238,2007,female,18707,40142
մարիա,235,2007,female,18707,40142
լիանա,234,2007,female,18707,40142
անուշ,210,2007,female,18707,40142
սոնա,200,2007,female,18707,40142
դիանա,186,2007,female,18707,40142
մարի,168,2007,female,18707,40142
մոնիկա,168,2007,female,18707,40142
ռուզաննա,165,2007,female,18707,40142
վիկտորյա,152,2007,female,18707,40142
անգելինա,150,2007,female,18707,40142
սվետլանա,147,2007,female,18707,40142
լիլիա,142,2007,female,18707,40142
սյուզի,140,2007,female,18707,40142
էմմա,137,2007,female,18707,40142
մելինե,135,2007,female,18707,40142
արմինե,130,2007,female,18707,40142
թամարա,125,2007,female,18707,40142
աստղիկ,125,2007,female,18707,40142
մարինե,122,2007,female,18707,40142
սեդա,119,2007,female,18707,40142
տաթևիկ,115,2007,female,18707,40142
լաուրա,111,2007,female,18707,40142
քրիստինե,107,2007,female,18707,40142
մարինա,105,2007,female,18707,40142
նելլի,105,2007,female,18707,40142
անժելա,103,2007,female,18707,40142
լուիզա,103,2007,female,18707,40142
լիա,103,2007,female,18707,40142
արևիկ,98,2007,female,18707,40142
էլինա,98,2007,female,18707,40142
նարեկ,908,2006,male,20025,37639
դավիթ,870,2006,male,20025,37639
հայկ,509,2006,male,20025,37639
էրիկ,632,2006,male,20025,37639
գոռ,526,2006,male,20025,37639
արման,566,2006,male,20025,37639
արթուր,465,2006,male,20025,37639
արմեն,426,2006,male,20025,37639
տիգրան,436,2006,male,20025,37639
սամվել,433,2006,male,20025,37639
աշոտ,317,2006,male,20025,37639
գևորգ,349,2006,male,20025,37639
վահե,340,2006,male,20025,37639
արամ,289,2006,male,20025,37639
արսեն,344,2006,male,20025,37639
կարեն,333,2006,male,20025,37639
սարգիս,307,2006,male,20025,37639
արտյոմ,316,2006,male,20025,37639
գագիկ,247,2006,male,20025,37639
լևոն,255,2006,male,20025,37639
հովհաննես,248,2006,male,20025,37639
էդգար,217,2006,male,20025,37639
սուրեն,185,2006,male,20025,37639
հարություն,196,2006,male,20025,37639
սերգեյ,151,2006,male,20025,37639
միքայել,145,2006,male,20025,37639
վարդան,148,2006,male,20025,37639
համլետ,164,2006,male,20025,37639
ռուբեն,137,2006,male,20025,37639
մհեր,123,2006,male,20025,37639
արեն,143,2006,male,20025,37639
ալեն,119,2006,male,20025,37639
գարիկ,125,2006,male,20025,37639
ալբերտ,159,2006,male,20025,37639
գրիգոր,150,2006,male,20025,37639
ռոբերտ,166,2006,male,20025,37639
անդրանիկ,142,2006,male,20025,37639
հակոբ,156,2006,male,20025,37639
ալեքս,114,2006,male,20025,37639
ռաֆայել,130,2006,male,20025,37639
ժորա,111,2006,male,20025,37639
վահագն,100,2006,male,20025,37639
ռազմիկ,131,2006,male,20025,37639
վահան,115,2006,male,20025,37639
